country,holiday_date,day_of_week,holiday,not_national_holiday,notes
Liberia,2015-01-01T00:00:00,Thu,New Year's Day,false,
Liberia,2015-02-11T00:00:00,Wed,Armed Forces Day,false,
Liberia,2015-03-11T00:00:00,Wed,National Decoration Day,false,
Liberia,2015-03-15T00:00:00,Sun,Joseph Jenkins Roberts' Birthday,false,
Liberia,2015-03-16T00:00:00,Mon,Joseph Jenkins Roberts Holiday,false,
Liberia,2015-04-10T00:00:00,Fri,Fast and Prayer Day,false,
Libya,2014-05-01T00:00:00,Thu,May Day,false,
Libya,2014-07-28T00:00:00,Mon,Eid al Fitr (End of Ramadan),false,
Libya,2014-07-29T00:00:00,Tue,Eid al Fitr Holiday,false,
Libya,2014-07-30T00:00:00,Wed,Eid al Fitr Holiday,false,
Libya,2014-09-16T00:00:00,Tue,Martyrs' Day,false,
Libya,2014-10-03T00:00:00,Fri,Arafat Day,false,
Libya,2014-10-04T00:00:00,Sat,Eid ul Adha (Feast of Sacrifice),false,
Libya,2014-10-05T00:00:00,Sun,Eid ul Adha Holiday,false,
Libya,2014-10-06T00:00:00,Mon,Eid ul Adha Holiday,false,
Libya,2014-10-23T00:00:00,Thu,Liberation Day,false,
Libya,2014-10-25T00:00:00,Sat,Islamic New Year,false,
Libya,2014-12-24T00:00:00,Wed,Independence Day,false,
Libya,2015-01-03T00:00:00,Sat,Mouled Al Nabee (The Prophet's Birthday),false,
Libya,2015-02-17T00:00:00,Tue,February 17 Revolution Day,false,
Libya,2015-03-19T00:00:00,Thu,Commemoration of the Victory over Kadhafi,false,
Liechtenstein,2014-05-01T00:00:00,Thu,Labour Day,false,
Liechtenstein,2014-05-29T00:00:00,Thu,Ascension Day (Auffahrt),false,
Liechtenstein,2014-06-09T00:00:00,Mon,Whit Monday,false,
Liechtenstein,2014-06-19T00:00:00,Thu,Corpus Christi Day,false,
Liechtenstein,2014-08-15T00:00:00,Fri,Liechtenstein State Celebration (National Day),false,
Liechtenstein,2014-09-08T00:00:00,Mon,Nativity of Our Lady Mary (Mari�� Geburt),false,
Liechtenstein,2014-11-01T00:00:00,Sat,All Saints' Day,false,
Liechtenstein,2014-12-08T00:00:00,Mon,Immaculate Conception Day,false,
Liechtenstein,2014-12-24T00:00:00,Wed,Christmas Eve,true,Banks
Liechtenstein,2014-12-25T00:00:00,Thu,Christmas Day,false,
Liechtenstein,2014-12-26T00:00:00,Fri,Saint Stephen's Day,false,
Liechtenstein,2014-12-31T00:00:00,Wed,New Year's Eve,true,Banks
Liechtenstein,2015-01-01T00:00:00,Thu,New Year's Day,false,
Liechtenstein,2015-01-02T00:00:00,Fri,Berchtoldstag,true,Banks
Liechtenstein,2015-01-06T00:00:00,Tue,Epiphany (Heilige Drei K��nige),false,
Liechtenstein,2015-02-02T00:00:00,Mon,Candlemas (Mari�� Lichtmess),false,
Liechtenstein,2015-02-17T00:00:00,Tue,Fasnachtsdienstag (tentative),true,Banks
Liechtenstein,2015-03-19T00:00:00,Thu,Saint Joseph's Day (Josefistag),false,
Liechtenstein,2015-04-03T00:00:00,Fri,Good Friday,true,Banks
Liechtenstein,2015-04-06T00:00:00,Mon,Easter Monday,false,
Lithuania,2014-05-01T00:00:00,Thu,Labour Day,false,
Lithuania,2014-05-04T00:00:00,Sun,Mothers' Day,false,
Lithuania,2014-06-01T00:00:00,Sun,Fathers' Day,false,
Lithuania,2014-06-24T00:00:00,Tue,Jonines (Saint John's Day),false,
Lithuania,2014-07-06T00:00:00,Sun,King Mindaugas Day,false,
Lithuania,2014-08-15T00:00:00,Fri,Zoline (Assumption),false,
Lithuania,2014-11-01T00:00:00,Sat,All Saints' Day,false,
Lithuania,2014-12-24T00:00:00,Wed,Christmas Eve,false,
Lithuania,2014-12-25T00:00:00,Thu,Christmas Day,false,
Lithuania,2014-12-26T00:00:00,Fri,Second Day of Christmas,false,
Lithuania,2015-01-01T00:00:00,Thu,New Year's Day,false,
Lithuania,2015-02-16T00:00:00,Mon,Independence Day (National Day),false,
Lithuania,2015-03-11T00:00:00,Wed,Independence Restoration Day,false,
Lithuania,2015-04-05T00:00:00,Sun,Easter,false,
Lithuania,2015-04-06T00:00:00,Mon,Easter Monday,false,
Luxembourg,2014-05-01T00:00:00,Thu,May Day,false,
Luxembourg,2014-05-29T00:00:00,Thu,Ascension Day,false,
Luxembourg,2014-06-09T00:00:00,Mon,Whit Monday,false,
Luxembourg,2014-06-23T00:00:00,Mon,Grand Duke's Birthday (National Day),false,
Luxembourg,2014-08-15T00:00:00,Fri,Assumption Day,false,
Luxembourg,2014-09-01T00:00:00,Mon,Luxembourg City Kermesse (jour f��ri�� d'usage) (not official),true,Regional
Luxembourg,2014-11-01T00:00:00,Sat,All Saints' Day,false,
Luxembourg,2014-12-24T00:00:00,Wed,Christmas Eve,true,Bnk+Aft
Luxembourg,2014-12-25T00:00:00,Thu,Christmas Day,false,
Luxembourg,2014-12-26T00:00:00,Fri,Saint-��tienne,false,
Luxembourg,2015-01-01T00:00:00,Thu,New Year's Day,false,
Luxembourg,2015-02-16T00:00:00,Mon,Carnival (jour f��ri�� d'usage) (not official),true,Other
Luxembourg,2015-04-03T00:00:00,Fri,Good Friday,true,Banks
Luxembourg,2015-04-06T00:00:00,Mon,Easter Monday,false,
Macau,2014-05-01T00:00:00,Thu,Labour Day,false,
Macau,2014-05-06T00:00:00,Tue,The Buddha's Birthday (Dia do Buda),false,
Macau,2014-06-02T00:00:00,Mon,Tung Ng (Dragon Boat Festival),false,
Macau,2014-07-01T00:00:00,Tue,July Bank Holiday,true,Banks
Macau,2014-09-09T00:00:00,Tue,Chong Chao (Mid-Autumn Festival Holiday),false,
Macau,2014-10-01T00:00:00,Wed,PRC National Day,false,
Macau,2014-10-02T00:00:00,Thu,PRC National Day Holiday,false,
Macau,2014-10-02T00:00:00,Thu,Chong Yeong (Ancestors' Day),false,
Macau,2014-10-03T00:00:00,Fri,The first working day after the Chong Yeung Festival,true,Government
Macau,2014-11-02T00:00:00,Sun,All Souls' Day (Dia de Finados),false,
Macau,2014-12-08T00:00:00,Mon,Immaculate Conception,false,
Macau,2014-12-20T00:00:00,Sat,Macau SARE Day,false,
Macau,2014-12-22T00:00:00,Mon,Dongzhi (Winter Solstice) (except banks),false,
Macau,2014-12-23T00:00:00,Tue,The first working day after Macao S.A.R. Establishment Day,true,Government
Macau,2014-12-24T00:00:00,Wed,Christmas Eve,false,
Macau,2014-12-25T00:00:00,Thu,Christmas Day (Natal),false,
Macau,2014-12-26T00:00:00,Fri,Chirstmas Bank Holiday,true,Banks
Macau,2014-12-31T00:00:00,Wed,New Year's Eve (afternoon),true,Gov+Aft
Macau,2015-01-01T00:00:00,Thu,New Year's Day (Fraternidade Universal),false,
Macau,2015-02-18T00:00:00,Wed,Lunar New Year's Eve (afternoon),true,Gov+Aft
Macau,2015-02-19T00:00:00,Thu,Lunar New Year's Day (Novo Ano Lunar),false,
Macau,2015-02-20T00:00:00,Fri,The second day of the Lunar New Year,false,
Macau,2015-02-21T00:00:00,Sat,The third day of the Lunar New Year,false,
Macau,2015-02-23T00:00:00,Mon,The fifth day of the Lunar New Year,true,Government
Macau,2015-04-03T00:00:00,Fri,Good Friday,false,
Macau,2015-04-04T00:00:00,Sat,Holy Saturday,false,
Macau,2015-04-05T00:00:00,Sun,Cheng Ming (Tomb Sweeping Day),false,
Macau,2015-04-06T00:00:00,Mon,Easter Monday Bank Holiday,true,Banks
Macau,2015-04-06T00:00:00,Mon,The first working day after the Day before Easter,true,Government
Macau,2015-04-07T00:00:00,Tue,The second working day after Cheng Ming Festival,true,Government
Macedonia,2014-05-01T00:00:00,Thu,Labour Day (Den na trudot),false,
Macedonia,2014-05-24T00:00:00,Sat,Saints Cyril and Methodius' Day,false,
Macedonia,2014-07-28T00:00:00,Mon,Ramazan Bajram (End of Ramadan),false,
Macedonia,2014-08-02T00:00:00,Sat,Iliden Day (Republic Day),false,
Macedonia,2014-09-08T00:00:00,Mon,Independence Day,false,
Macedonia,2014-10-11T00:00:00,Sat,Uprising Against Facism Day,false,
Macedonia,2014-10-23T00:00:00,Thu,Day of the Macedonian Revolution,false,
Macedonia,2014-12-08T00:00:00,Mon,St. Kliment Ohridski (St. Clement of Ohrid),false,
Macedonia,2015-01-01T00:00:00,Thu,New Year's Day (Nova Godina),false,
Macedonia,2015-01-07T00:00:00,Wed,Christmas Day (Orthodox),false,
Macedonia,2015-04-13T00:00:00,Mon,Orthodox Easter Monday (Vtor den Veligden),false,
Madagascar,2014-05-01T00:00:00,Thu,Labour Day,false,
Madagascar,2014-05-29T00:00:00,Thu,Ascension Day,false,
Madagascar,2014-05-30T00:00:00,Fri,Public Holiday (tentative),true,
Madagascar,2014-06-08T00:00:00,Sun,Whit Sunday (Pentecost),false,
Madagascar,2014-06-09T00:00:00,Mon,Whit Monday,false,
Madagascar,2014-06-26T00:00:00,Thu,Independence Day (Fetin'ny Fahaleovantena),false,
Madagascar,2014-07-28T00:00:00,Mon,End of Ramadan (public holiday for Muslims only) (tentative),true,Muslim
Madagascar,2014-08-15T00:00:00,Fri,Assumption Day,false,
Madagascar,2014-10-04T00:00:00,Sat,Feast of Sacrifice (public holiday for Muslims only) (tentative),true,Muslim
Madagascar,2014-10-14T00:00:00,Tue,Jour de la proclamation de la Premi��re R��publique,false,
Madagascar,2014-11-01T00:00:00,Sat,All Saints' Day,false,
Madagascar,2014-12-11T00:00:00,Thu,Fourth Republic Day,false,
Madagascar,2014-12-25T00:00:00,Thu,Christmas Day,false,
Madagascar,2015-01-01T00:00:00,Thu,New Year's Day,false,
Madagascar,2015-03-08T00:00:00,Sun,Women's Day (public holiday for women only),true,Other
Madagascar,2015-03-29T00:00:00,Sun,Martyrs' Day,false,
Madagascar,2015-04-05T00:00:00,Sun,Easter,false,
Madagascar,2015-04-06T00:00:00,Mon,Easter Monday,false,
Malaysia,2014-05-01T00:00:00,Thu,Labour Day,false,
Malaysia,2014-05-07T00:00:00,Wed,State Public Holiday (PHG),true,Regional
Malaysia,2014-05-13T00:00:00,Tue,Wesak (Buddha Day),false,
Malaysia,2014-05-17T00:00:00,Sat,State Public Holiday (PLS),true,Regional
Malaysia,2014-05-27T00:00:00,Tue,Israk dan Mikraj (KDH NSN PLS),true,Regional
Malaysia,2014-05-30T00:00:00,Fri,State Public Holiday (LBN SBH),true,Regional
Malaysia,2014-05-31T00:00:00,Sat,State Public Holiday (LBN SBH),true,Regional
Malaysia,2014-06-01T00:00:00,Sun,State Public Holiday (SRW),true,Regional
Malaysia,2014-06-02T00:00:00,Mon,State Public Holiday (SRW),true,Regional
Malaysia,2014-06-07T00:00:00,Sat,Birthday of SPB Yang di-Pertuan Agong,false,
Malaysia,2014-06-29T00:00:00,Sun,Awal Ramadan (JHR KDH MLK),true,Regional
Malaysia,2014-07-07T00:00:00,Mon,George Town UNESCO World Heritage Day (PNG),true,Regional
Malaysia,2014-07-12T00:00:00,Sat,State Public Holiday (PNG),true,Regional
Malaysia,2014-07-15T00:00:00,Tue,Nuzul Quran (KTN KUL LBN PHG PJY PLS PNG PRK SGR TRG),true,Regional
Malaysia,2014-07-28T00:00:00,Mon,Hari Raya Puasa (End of Ramadan),false,
Malaysia,2014-07-29T00:00:00,Tue,Hari Raya Puasa Holiday,false,
Malaysia,2014-08-31T00:00:00,Sun,National Day (Hari Kebangsaan),false,
Malaysia,2014-09-13T00:00:00,Sat,State Public Holiday (SRW),true,Regional
Malaysia,2014-09-16T00:00:00,Tue,Malaysia Day,false,
Malaysia,2014-10-04T00:00:00,Sat,State Public Holiday (SBH),true,Regional
Malaysia,2014-10-05T00:00:00,Sun,Hari Raya Qurban (Feast of Sacrifice),false,
Malaysia,2014-10-06T00:00:00,Mon,"Hari Raya Qurban, Day 2 (KDH KTN PLS TRG)",true,Regional
Malaysia,2014-10-06T00:00:00,Mon,Hari Raya Qurban (day in lieu) (except JHR KDH KTN TRG),false,
Malaysia,2014-10-10T00:00:00,Fri,State Public Holiday (MLK),true,Regional
Malaysia,2014-10-22T00:00:00,Wed,Deepavali (Festival of Lights) (except SRW),false,
Malaysia,2014-10-24T00:00:00,Fri,State Public Holiday (PHG),true,Regional
Malaysia,2014-10-25T00:00:00,Sat,Awal Muharram (Islamic New Year),false,
Malaysia,2014-10-26T00:00:00,Sun,Awal Muharram (day in lieu) (JHR KDH KTN TRG),true,Regional
Malaysia,2014-11-11T00:00:00,Tue,State Public Holiday (KTN),true,Regional
Malaysia,2014-11-12T00:00:00,Wed,State Public Holiday (KTN),true,Regional
Malaysia,2014-11-22T00:00:00,Sat,State Public Holiday (JHR),true,Regional
Malaysia,2014-11-29T00:00:00,Sat,State Public Holiday (JHR),true,Regional
Malaysia,2014-12-11T00:00:00,Thu,State Public Holiday (SGR),true,Regional
Malaysia,2014-12-25T00:00:00,Thu,Christmas Day,false,
Malaysia,2015-01-01T00:00:00,Thu,New Year's Day (except JHR KDH KTN PLS TRG),false,
Malaysia,2015-01-03T00:00:00,Sat,Maulidur Rasul (The Prophet's Birthday),false,
Malaysia,2015-01-04T00:00:00,Sun,Maulidur Rasul (day in lieu) (JHR KDH KTN TRG),true,Regional
Malaysia,2015-01-14T00:00:00,Wed,State Public Holiday (NSN),true,Regional
Malaysia,2015-01-18T00:00:00,Sun,State Public Holiday (KDH),true,Regional
Malaysia,2015-02-01T00:00:00,Sun,Federal Territory Day (KUL LBN PJY),true,Regional
Malaysia,2015-02-02T00:00:00,Mon,Federal Territory Day (day in lieu) (KUL LBN PJY),true,Regional
Malaysia,2015-02-03T00:00:00,Tue,Thaipusam (JHR KUL NSN PJY PNG PRK SGR),true,Regional
Malaysia,2015-02-03T00:00:00,Tue,Thaipusam (KDH),true,Reg+Tentative
Malaysia,2015-02-19T00:00:00,Thu,Chinese New Year,false,
Malaysia,2015-02-20T00:00:00,Fri,"Chinese New Year, Day 2",false,
Malaysia,2015-03-04T00:00:00,Wed,State Public Holiday (TRG),true,Regional
Malaysia,2015-04-03T00:00:00,Fri,Good Friday (SBH SRW),true,Regional
Malaysia,2015-04-15T00:00:00,Wed,State Public Holiday (MLK),true,Regional
Malaysia,2015-04-19T00:00:00,Sun,State Public Holiday (PRK),true,Regional
Malawi,2014-05-01T00:00:00,Thu,Labour Day,false,
Malawi,2014-05-14T00:00:00,Wed,President Kamuzu Banda's Birthday,false,
Malawi,2014-06-14T00:00:00,Sat,Freedom Day,false,
Malawi,2014-06-16T00:00:00,Mon,Freedom Day Holiday,false,
Malawi,2014-07-06T00:00:00,Sun,Independence Day,false,
Malawi,2014-07-07T00:00:00,Mon,Independence Day Holiday,false,
Malawi,2014-07-28T00:00:00,Mon,Eid al Fitr (End of Ramadan),false,
Malawi,2014-10-15T00:00:00,Wed,Mothers' Day (World Rural Women's Day),false,
Malawi,2014-12-25T00:00:00,Thu,Christmas Day,false,
Malawi,2014-12-26T00:00:00,Fri,Boxing Day,false,
Malawi,2015-01-01T00:00:00,Thu,New Year's Day,false,
Malawi,2015-01-15T00:00:00,Thu,John Chilembwe Day,false,
Malawi,2015-03-03T00:00:00,Tue,Martyrs' Day,false,
Malawi,2015-04-03T00:00:00,Fri,Good Friday,false,
Malawi,2015-04-04T00:00:00,Sat,Easter Saturday,false,
Malawi,2015-04-06T00:00:00,Mon,Easter Monday,false,
Maldives,2014-05-01T00:00:00,Thu,Labour Day,false,
Maldives,2014-06-28T00:00:00,Sat,Begining of the Holy Month of Ramadan,false,
Maldives,2014-07-26T00:00:00,Sat,Independence Day,false,
Maldives,2014-07-27T00:00:00,Sun,On the Occasion of Independence Day,true,Government
Maldives,2014-07-28T00:00:00,Mon,Eid ul-Fitr (End of Ramadan),false,
Maldives,2014-07-29T00:00:00,Tue,On the Occasion of Eid ul-Fitr,true,Government
Maldives,2014-07-30T00:00:00,Wed,On the Occasion of Eid ul-Fitr,true,Government
Maldives,2014-10-03T00:00:00,Fri,Hajj Day,false,
Maldives,2014-10-04T00:00:00,Sat,Eid ul-Ad'haa (Feast of Sacrifice),false,
Maldives,2014-10-05T00:00:00,Sun,On the Occasion of Eid ul-Ad'haa,true,Government
Maldives,2014-10-06T00:00:00,Mon,On the Occasion of Eid ul-Ad'haa,true,Government
Maldives,2014-10-07T00:00:00,Tue,On the Occasion of Eid ul-Ad'haa,true,Government
Maldives,2014-10-25T00:00:00,Sat,Islamic New Year (Hijri),true,Government
Maldives,2014-11-03T00:00:00,Mon,Victory Day,false,
Maldives,2014-11-11T00:00:00,Tue,Republic Day,false,
Maldives,2014-12-23T00:00:00,Tue,National Day,false,
Maldives,2015-01-01T00:00:00,Thu,New Year's Day,true,Government
Maldives,2015-01-03T00:00:00,Sat,The Prophet's Birthday,false,
Maldives,2015-01-22T00:00:00,Thu,The Day Maldives Embraced Islam,false,
Maldives,2015-03-02T00:00:00,Mon,Public Holiday (First Sitting of the People's Majlis) (tentative),true,
Mali,2014-05-01T00:00:00,Thu,Labour Day,false,
Mali,2014-05-25T00:00:00,Sun,Africa Day,false,
Mali,2014-07-28T00:00:00,Mon,Korit�� (End of Ramadan),false,
Mali,2014-09-22T00:00:00,Mon,Independence Day (National Day),false,
Mali,2014-10-04T00:00:00,Sat,Tabaski (Feast of Sacrifice),false,
Mali,2014-12-25T00:00:00,Thu,Christmas Day,false,
Mali,2015-01-01T00:00:00,Thu,New Year's Day,false,
Mali,2015-01-03T00:00:00,Sat,Mawloud (The Prophet's Birthday),false,
Mali,2015-01-10T00:00:00,Sat,Baptism of the Prophet,false,
Mali,2015-01-20T00:00:00,Tue,Armed Forces Day,false,
Mali,2015-03-26T00:00:00,Thu,Martyrs' Day / Democracy Day,false,
Mali,2015-04-06T00:00:00,Mon,Easter Monday,false,
Malta,2014-05-01T00:00:00,Thu,Workers' Day (Jum il-Haddiem),false,
Malta,2014-06-07T00:00:00,Sat,Sette Giugno,false,
Malta,2014-06-29T00:00:00,Sun,Feast of St. Peter and St. Paul (L-Imnarja),false,
Malta,2014-08-15T00:00:00,Fri,Feast of the Assumption,false,
Malta,2014-09-08T00:00:00,Mon,Feast of Our Lady of Victories (Jum il-Vittorja),false,
Malta,2014-09-21T00:00:00,Sun,Independence Day (Jum l-Indipendenza),false,
Malta,2014-12-08T00:00:00,Mon,Feast of the Immaculate Conception,false,
Malta,2014-12-13T00:00:00,Sat,Republic Day (Jum ir-Repubblika),false,
Malta,2014-12-25T00:00:00,Thu,Christmas Day,false,
Malta,2014-12-26T00:00:00,Fri,Bank Holiday,true,Banks
Malta,2015-01-01T00:00:00,Thu,New Year's Day,false,
Malta,2015-02-10T00:00:00,Tue,Feast of St. Paul's Shipwreck,false,
Malta,2015-03-19T00:00:00,Thu,Feast of St. Joseph,false,
Malta,2015-03-31T00:00:00,Tue,Freedom Day (Jum il-Helsien),false,
Malta,2015-04-03T00:00:00,Fri,Good Friday,false,
Malta,2015-04-06T00:00:00,Mon,Bank Holiday,true,Banks
Malvinas,2014-06-14T00:00:00,Sat,Liberation Day,false,
Malvinas,2014-06-16T00:00:00,Mon,Liberation Day Holiday,false,
Malvinas,2014-10-06T00:00:00,Mon,Peat Cutting Day (Spring Holiday),false,
Malvinas,2014-12-08T00:00:00,Mon,Battle Day,false,
Malvinas,2014-12-25T00:00:00,Thu,Christmas Day,false,
Malvinas,2014-12-26T00:00:00,Fri,Boxing Day / 1st day of Stanley Races,false,
Malvinas,2014-12-29T00:00:00,Mon,2nd day of Stanley Races,false,
Malvinas,2014-12-30T00:00:00,Tue,Government Holidays,true,Government
Malvinas,2014-12-31T00:00:00,Wed,Government Holidays,true,Government
Malvinas,2015-01-01T00:00:00,Thu,New Year's Day,false,
Malvinas,2015-04-03T00:00:00,Fri,Good Friday,false,
Malvinas,2015-04-21T00:00:00,Tue,Queen's Birthday,false,
Marshall Islands,2014-05-01T00:00:00,Thu,Constitution Day (National Day),false,
Marshall Islands,2014-07-04T00:00:00,Fri,Fishermen's Day,false,
Marshall Islands,2014-09-05T00:00:00,Fri,Dri-jerbal Day (Labor Day),false,
Marshall Islands,2014-09-26T00:00:00,Fri,Manit Day (Culture Day),false,
Marshall Islands,2014-11-17T00:00:00,Mon,Presidents' Day,false,
Marshall Islands,2014-12-05T00:00:00,Fri,Gospel Day,false,
Marshall Islands,2014-12-25T00:00:00,Thu,Christmas Day,false,
Marshall Islands,2015-01-01T00:00:00,Thu,New Year's Day,false,
Marshall Islands,2015-03-01T00:00:00,Sun,Nuclear Victims Remembrance Day (Bravo Day),false,
Marshall Islands,2015-03-02T00:00:00,Mon,Remembrance Day Public Holiday,false,
Marshall Islands,2015-04-03T00:00:00,Fri,Good Friday,false,
Martinique,2014-05-01T00:00:00,Thu,Labour Day,false,
Martinique,2014-05-08T00:00:00,Thu,Victory Day,false,
Martinique,2014-05-22T00:00:00,Thu,Abolition Day,false,
Martinique,2014-05-29T00:00:00,Thu,Ascension Day,false,
Martinique,2014-06-09T00:00:00,Mon,Whit Monday,false,
Martinique,2014-07-14T00:00:00,Mon,F��te Nationale (National Day),false,
Martinique,2014-08-15T00:00:00,Fri,Assumption Day,false,
Martinique,2014-11-01T00:00:00,Sat,All Saints' Day,false,
Martinique,2014-11-11T00:00:00,Tue,Armistice Day,false,
Martinique,2014-12-25T00:00:00,Thu,Christmas Day,false,
Martinique,2015-01-01T00:00:00,Thu,New Year's Day,false,
Martinique,2015-02-16T00:00:00,Mon,Carnaval Monday (jour ch��m�� d'usage),true,Other
Martinique,2015-02-17T00:00:00,Tue,Mardi Gras (jour ch��m�� d'usage),true,Other
Martinique,2015-02-18T00:00:00,Wed,Ash Wednesday (jour ch��m�� d'usage),true,Other
Martinique,2015-04-03T00:00:00,Fri,Good Friday (jour ch��m�� d'usage),true,Bnk+Othr
Martinique,2015-04-06T00:00:00,Mon,Easter Monday,false,
Mauritania,2014-05-01T00:00:00,Thu,Labour Day (F��te du Travail),false,
Mauritania,2014-05-25T00:00:00,Sun,Africa Day,false,
Mauritania,2014-07-29T00:00:00,Tue,A��d el-Fitr / A��d el-Seghir (End of Ramadan),false,
Mauritania,2014-07-30T00:00:00,Wed,Lendemain de l'A��d el-Seghir,false,
Mauritania,2014-10-05T00:00:00,Sun,A��d el-Adha / A��d el-Kebir / Tabaski (Feast of Sacrifice),false,
Mauritania,2014-10-06T00:00:00,Mon,Lendemain de l'A��d el-Kebir,false,
Mauritania,2014-10-25T00:00:00,Sat,Premier Moharram (Islamic New Year),false,
Mauritania,2014-11-28T00:00:00,Fri,Independence Day,false,
Mauritania,2015-01-01T00:00:00,Thu,New Year's Day,false,
Mauritania,2015-01-04T00:00:00,Sun,A��d el-Maouloud (The Prophet's Birthday),false,
Mauritius,2014-05-01T00:00:00,Thu,Labour Day,false,
Mauritius,2014-07-29T00:00:00,Tue,Eid al Fitr (End of Ramadan),false,
Mauritius,2014-08-15T00:00:00,Fri,Assumption Day,false,
Mauritius,2014-08-30T00:00:00,Sat,Ganesh Chathurthi,false,
Mauritius,2014-10-23T00:00:00,Thu,Divali (Festival of Lights),false,
Mauritius,2014-11-02T00:00:00,Sun,Arrival of Indentured Labourers,false,
Mauritius,2014-12-25T00:00:00,Thu,Christmas Day,false,
Mauritius,2015-01-01T00:00:00,Thu,New Year's Day,false,
Mauritius,2015-01-02T00:00:00,Fri,New Year Holiday,false,
Mauritius,2015-02-01T00:00:00,Sun,Abolition Day,false,
Mauritius,2015-02-03T00:00:00,Tue,Thaipoosam Cavadee,false,
Mauritius,2015-02-17T00:00:00,Tue,Maha Shivaratree,false,
Mauritius,2015-02-19T00:00:00,Thu,Chinese New Year (Spring Festival),false,
Mauritius,2015-03-12T00:00:00,Thu,National Day,false,
Mauritius,2015-03-21T00:00:00,Sat,Ougadi,false,
Mayotte,2014-05-01T00:00:00,Thu,Labour Day,false,
Mayotte,2014-05-08T00:00:00,Thu,Victory Day,false,
Mayotte,2014-05-26T00:00:00,Mon,Miradji (The Prophet's Ascension),true,Muslim
Mayotte,2014-05-29T00:00:00,Thu,Ascension Day,false,
Mayotte,2014-06-09T00:00:00,Mon,Whit Monday,false,
Mayotte,2014-07-14T00:00:00,Mon,F��te Nationale (National Day),false,
Mayotte,2014-07-28T00:00:00,Mon,Ide el Fitri (End of Ramadan),true,Schools
Mayotte,2014-08-15T00:00:00,Fri,Assumption Day,false,
Mayotte,2014-10-04T00:00:00,Sat,Ide el Kabir (Feast of Sacrifice),false,
Mayotte,2014-11-01T00:00:00,Sat,All Saints' Day,false,
Mayotte,2014-11-11T00:00:00,Tue,Armistice Day,false,
Mayotte,2014-12-25T00:00:00,Thu,Christmas Day,false,
Mayotte,2015-01-01T00:00:00,Thu,New Year's Day,false,
Mayotte,2015-01-03T00:00:00,Sat,Maoulid (The Prophet's Birthday),true,Muslim
Mayotte,2015-04-06T00:00:00,Mon,Easter Monday,false,
Mayotte,2015-04-27T00:00:00,Mon,Abolition Day,false,
Mexico,2014-05-01T00:00:00,Thu,Labor Day,false,
Mexico,2014-05-05T00:00:00,Mon,Anniversary of the Battle of Puebla,true,Government
Mexico,2014-09-16T00:00:00,Tue,Independence Day,false,
Mexico,2014-11-02T00:00:00,Sun,All Souls' Day,true,Banks
Mexico,2014-11-17T00:00:00,Mon,Revolution Day Holiday,false,
Mexico,2014-12-12T00:00:00,Fri,Lady of Guadalupe Day,true,Banks
Mexico,2014-12-25T00:00:00,Thu,Christmas Day,false,
Mexico,2015-01-01T00:00:00,Thu,New Year's Day,false,
Mexico,2015-02-02T00:00:00,Mon,Constitution Day Holiday,false,
Mexico,2015-03-16T00:00:00,Mon,Benito Juarez Day,false,
Mexico,2015-04-02T00:00:00,Thu,Maundy Thursday,true,Banks
Mexico,2015-04-03T00:00:00,Fri,Good Friday,true,Banks
Micronesia,2014-05-09T00:00:00,Fri,FSM Day Holiday,false,
Micronesia,2014-05-10T00:00:00,Sat,Federated States of Micronesia Day (Constitution Day),false,
Micronesia,2014-08-21T00:00:00,Thu,Gospel Day (Kosrae),true,Regional
Micronesia,2014-09-08T00:00:00,Mon,Kosrae Liberation Day,true,Regional
Micronesia,2014-09-11T00:00:00,Thu,Pohnpei Liberation Day,true,Regional
Micronesia,2014-10-01T00:00:00,Wed,Chuuk Constitution Day,true,Regional
Micronesia,2014-10-24T00:00:00,Fri,United Nations' Day,false,
Micronesia,2014-11-03T00:00:00,Mon,FSM Independence Day,false,
Micronesia,2014-11-08T00:00:00,Sat,Pohnpei Constitution Day,true,Regional
Micronesia,2014-11-11T00:00:00,Tue,Veterans of Foreign Wars Day,false,
Micronesia,2014-11-27T00:00:00,Thu,Thanksgiving Day (Chuuk),true,Regional
Micronesia,2014-12-24T00:00:00,Wed,Yap Constitution Day,true,Regional
Micronesia,2014-12-25T00:00:00,Thu,Christmas Day,false,
Micronesia,2015-01-01T00:00:00,Thu,New Year's Day,false,
Micronesia,2015-01-11T00:00:00,Sun,Kosrae Constitution Day,true,Regional
Micronesia,2015-03-01T00:00:00,Sun,Yap Day,true,Regional
Micronesia,2015-03-02T00:00:00,Mon,Yap Day Holiday,true,Regional
Micronesia,2015-03-31T00:00:00,Tue,Micronesian Culture and Traditions Day,false,
Micronesia,2015-04-03T00:00:00,Fri,Good Friday (Pohnpei),true,Reg+Chr
Micronesia,2015-04-05T00:00:00,Sun,Easter,true,Reg+Chr
Moldova,2014-05-01T00:00:00,Thu,International Solidarity Day of Workers,false,
Moldova,2014-05-02T00:00:00,Fri,Public Holiday (workday moved to Sat. May 17),false,
Moldova,2014-05-09T00:00:00,Fri,Victory Day (Ziua Victoriei),false,
Moldova,2014-08-27T00:00:00,Wed,Independence Day (Ziua Republicii),false,
Moldova,2014-08-31T00:00:00,Sun,National Language Day (Limba Noastra),false,
Moldova,2014-10-14T00:00:00,Tue,Chisinau Day (Hramul Chisinaului),true,Municipal
