,aid,sign_in_count,activity,hr_diff,hr_list,etaOrient,blank,variety,igs,public,ighMean,ighOrient,membership
68,2267073,3,1.66666666667,20,0.0007&&0.0009&&3.3566&&0.0740&&,1.0,0.0,2,5,0,1914.4,0.0,0
69,2248358,23,0.478260869565,129,0.4758&&0.5096&&0.0660&&0.0025&&0.0083&&0.0741&&6.9722&&7.4352&&5.4430&&33.0725&&,0.6,81.8181818182,2,11,0,1227.27272727,0.0909090909091,0
70,2347723,1,12.0,0,0.0229&&0.0183&&0.0072&&0.0014&&0.0033&&0.0016&&0.0228&&0.0265&&0.0020&&0.0678&&0.0295&&,1.0,8.33333333333,5,12,1,1444.41666667,0.0833333333333,0
71,2257967,5,1.0,3,0.0271&&0.1964&&0.2309&&0.0642&&,1.0,80.0,1,5,0,2170.2,0.0,0
72,2253481,7,0.857142857143,100,20.0097&&0.0123&&0.9689&&0.0047&&0.0013&&,0.8,50.0,2,6,1,1341.16666667,0.0,0
73,2424996,1,6.0,0,0.0027&&0.0054&&0.0031&&0.0121&&0.0009&&,1.0,83.3333333333,1,6,0,1911.0,0.0,0
74,2292550,9,0.555555555556,0,0.0352&&0.0012&&0.0013&&0.0011&&,1.0,0.0,1,5,0,2515.0,0.0,0
75,2314937,89,0.325842696629,10,1.5902&&0.0014&&0.0042&&0.0004&&0.0009&&0.0063&&0.0042&&0.0178&&0.0054&&0.0001&&0.0013&&0.0169&&0.0178&&0.0007&&0.0015&&0.0008&&0.0097&&0.0202&&0.0003&&0.0006&&0.0005&&2.8808&&0.0662&&0.0135&&0.0700&&0.9106&&2.1573&&4.9931&&,0.964285714286,82.7586206897,2,29,0,1467.96551724,0.172413793103,0
76,2220880,4,2.25,207,0.0418&&2.0422&&0.0218&&18.7990&&4.0655&&31.9966&&0.0265&&12.1228&&,0.5,0.0,7,9,0,2360.11111111,0.0,0
77,2370974,3,2.66666666667,27,7.1542&&0.0023&&0.0039&&0.0066&&0.0081&&0.0011&&0.9005&&,0.857142857143,12.5,3,8,0,2218.875,0.0,0
78,2344256,2,3.5,27,0.0017&&0.0306&&0.0093&&6.2325&&0.0844&&0.4240&&,0.833333333333,14.2857142857,2,7,0,1167.71428571,0.0,0
79,2313377,15,0.733333333333,78,5.3505&&18.7944&&7.0681&&0.0423&&0.0169&&0.0499&&1.0353&&0.0696&&0.0619&&0.0315&&,0.7,100.0,0,11,0,1276.72727273,0.0,0
80,2373631,3,1.66666666667,42,0.0134&&7.1145&&0.0024&&0.0243&&,0.75,0.0,4,5,0,1891.0,0.0,0
81,2387014,3,1.66666666667,61,0.0011&&0.0066&&2.7883&&7.5100&&,0.75,0.0,2,5,0,2441.4,0.0,0
82,2320306,3,1.66666666667,29,0.0169&&0.0079&&0.7560&&4.0919&&,0.75,100.0,0,5,0,1646.0,0.2,0
83,2333089,2,3.0,0,0.0054&&0.0026&&0.0103&&0.0025&&0.0166&&,1.0,66.6666666667,1,6,0,679.833333333,0.833333333333,0
84,2343490,7,1.14285714286,73,0.0001&&0.0329&&0.3841&&0.1671&&20.0186&&0.3898&&0.5328&&,0.857142857143,87.5,1,8,0,1928.0,0.125,0
85,2340831,10,2.0,6,0.3842&&0.0258&&1.7386&&0.0245&&0.0771&&0.0316&&0.0299&&0.0211&&0.0404&&0.0253&&0.0199&&0.6297&&1.0103&&0.0233&&0.0180&&0.0231&&0.0428&&0.0149&&0.8344&&,1.0,0.0,1,20,0,2167.8,0.0,0
86,2279537,7,1.42857142857,5,0.0021&&0.0023&&0.0040&&0.0021&&0.7261&&0.0207&&0.0013&&0.0036&&1.2270&&,1.0,30.0,1,10,0,1686.8,0.1,0
87,2359346,2,2.5,378,0.0075&&0.0388&&63.0263&&0.0072&&,0.75,20.0,1,5,0,4320.4,0.0,0
88,2330474,6,0.833333333333,199,4.3212&&14.6574&&0.0069&&14.2766&&,0.25,100.0,0,5,0,1582.0,0.2,0
89,2402636,18,0.888888888889,81,0.0024&&2.9516&&4.0834&&8.9237&&6.0839&&0.0021&&0.0011&&5.9672&&4.0270&&2.9649&&3.0356&&7.9062&&0.9771&&2.9694&&1.0072&&,0.6,0.0,12,16,0,2250.875,0.125,0
90,2276449,7,0.857142857143,225,0.0046&&0.0505&&38.9718&&0.0045&&7.9683&&,0.6,0.0,4,6,0,1594.66666667,0.166666666667,0
91,2239679,3,2.66666666667,192,0.0362&&0.0404&&0.0725&&55.9729&&0.0313&&0.0531&&0.0034&&,0.857142857143,12.5,3,8,3,1575.25,0.0,0
92,2400645,2,3.0,2,0.0012&&0.0002&&0.0021&&0.0332&&0.4443&&,1.0,0.0,1,6,0,1820.0,0.0,0
93,2262627,3,5.0,14,0.3097&&0.4183&&1.2056&&0.0042&&0.0223&&0.0263&&0.0605&&0.2227&&0.0089&&0.0067&&0.0132&&0.0345&&0.0361&&5.8183&&,0.928571428571,93.3333333333,1,15,0,1177.0,0.266666666667,0
94,2268858,10,0.5,23,0.0090&&0.9773&&0.0059&&3.0036&&,1.0,40.0,1,5,0,2049.0,0.0,0
95,2321262,6,1.0,1,0.0060&&0.2494&&0.0059&&0.0080&&0.0323&&,1.0,16.6666666667,3,6,0,1416.33333333,0.166666666667,0
96,2233531,3,3.66666666667,58,0.0680&&1.8999&&0.0382&&0.0382&&0.1745&&0.0031&&0.0175&&5.9206&&0.0284&&16.0255&&,0.8,45.4545454545,4,11,1,2237.45454545,0.181818181818,0
97,2218746,6,1.0,194,1.2888&&14.2466&&0.0239&&24.8670&&0.0077&&,0.6,100.0,0,6,0,2584.5,0.0,0
98,2273569,1,5.0,0,0.0014&&0.0037&&0.0273&&0.0276&&,1.0,60.0,2,5,0,1393.8,0.4,0
99,2255777,3,1.66666666667,242,0.0147&&0.0095&&0.0040&&40.4283&&,0.75,40.0,1,5,0,2185.2,0.0,0
100,2429505,26,0.384615384615,69,11.3145&&0.0008&&11.7092&&0.0393&&0.0050&&0.0031&&0.0088&&0.0102&&3.0365&&,0.777777777778,10.0,3,10,3,2950.3,0.0,0
101,2319808,3,1.66666666667,43,6.4193&&0.0088&&0.0106&&0.8829&&,0.75,100.0,0,5,0,1350.0,0.0,0
102,2353507,1,5.0,0,0.0398&&0.0036&&0.0587&&0.0095&&,1.0,60.0,2,5,0,1084.0,0.4,0
103,2250869,2,2.5,54,0.0067&&0.9535&&8.0177&&0.0510&&,0.75,20.0,4,5,0,1372.6,0.0,0
104,2405194,5,1.0,168,0.0058&&0.3049&&27.6826&&0.0081&&,0.75,60.0,2,5,0,1600.8,0.8,0
105,2411255,4,1.25,6,0.0277&&0.0045&&0.0044&&1.1073&&,1.0,0.0,1,5,1,1141.8,0.0,0
106,2324813,40,1.175,6,0.0003&&0.0013&&0.0005&&0.0004&&0.0002&&0.0021&&0.0001&&0.0024&&0.0002&&0.0024&&0.0021&&0.0028&&0.0040&&0.0669&&0.0015&&4.5651&&4.3044&&0.0020&&0.0029&&0.0013&&0.6777&&0.0109&&0.1208&&0.1101&&1.1302&&0.0003&&0.0025&&0.0009&&0.0053&&0.0046&&0.0225&&0.0060&&0.0107&&0.0069&&0.0020&&0.0068&&1.9304&&0.0079&&0.0265&&0.0010&&0.0072&&0.0018&&0.0075&&0.0131&&0.0169&&0.0196&&,0.95652173913,100.0,0,47,0,1158.44680851,0.468085106383,0
107,2282861,1,5.0,115,0.0098&&0.0175&&15.9976&&3.1666&&,0.75,40.0,3,5,0,1397.8,0.0,0
108,2324521,2,2.5,18,0.0176&&0.0064&&0.0072&&3.0181&&,1.0,40.0,3,5,0,1698.0,0.0,0
109,2234107,8,1.125,158,1.9598&&0.0018&&0.0037&&1.1828&&0.6813&&48.9969&&0.0553&&0.0370&&,0.875,33.3333333333,3,9,1,2155.88888889,0.111111111111,0
110,2324052,10,0.7,188,0.0492&&5.2642&&0.6125&&5.8412&&0.1759&&35.0842&&,0.5,71.4285714286,1,7,0,1337.28571429,0.142857142857,0
111,2221682,8,0.75,369,0.0370&&0.0936&&6.8890&&70.0050&&0.0049&&,0.6,83.3333333333,1,6,0,1325.33333333,0.166666666667,0
112,2291978,6,1.5,34,0.6968&&0.0306&&0.0040&&0.3034&&0.3660&&6.4521&&0.0960&&3.4456&&,0.875,22.2222222222,5,9,0,1544.44444444,0.0,0
113,2352597,11,0.454545454545,210,4.0285&&7.0038&&9.9968&&14.0391&&,0.0,0.0,5,5,0,1974.0,0.0,0
114,2395509,1,5.0,1,0.1690&&0.0025&&0.0318&&0.0020&&,1.0,20.0,3,5,0,1916.8,0.0,0
115,2398971,2,3.0,0,0.0013&&0.0021&&0.0031&&0.1138&&0.0017&&,1.0,16.6666666667,2,6,0,2484.16666667,0.0,0
116,2359554,4,1.25,375,0.0328&&62.4427&&0.0150&&0.0210&&,0.75,100.0,0,5,0,2160.0,0.0,0
117,2298914,11,1.45454545455,23,0.0463&&0.0062&&0.9092&&0.0069&&0.0117&&0.0178&&2.0328&&0.1282&&0.0051&&0.8212&&2.4347&&1.0587&&0.0333&&3.4578&&3.4903&&,1.0,62.5,4,16,0,1110.875,0.25,0
