,aid,sign_in_count,activity,hr_diff,hr_list,etaOrient,blank,variety,igs,public,ighMean,ighOrient,membership
57,2725086,20,1.5,60,0.4700&&0.0269&&0.0537&&0.4309&&0.1106&&0.0005&&0.9784&&2.1080&&3.2369&&8.2055&&0.4211&&0.0202&&1.5507&&3.6275&&0.3477&&0.0087&&0.0115&&0.0101&&0.0129&&0.0094&&21.8678&&0.0416&&0.0159&&0.0228&&0.0094&&8.8483&&6.6545&&14.2105&&0.0843&&,0.827586206897,100.0,0,30,0,669.366666667,0.7,0
58,2769067,13,0.461538461538,229,0.0035&&47.7878&&0.0451&&0.0015&&0.0143&&,0.8,66.6666666667,2,6,0,1705.16666667,0.0,0
59,2638796,26,0.538461538462,184,44.8922&&1.2026&&0.0273&&0.1217&&0.1024&&0.8028&&18.5579&&0.0020&&23.4970&&0.5044&&0.0960&&4.9225&&5.1971&&,0.615384615385,64.2857142857,5,14,0,1571.07142857,0.428571428571,0
60,2763657,17,0.352941176471,16,1.5169&&0.0576&&0.0873&&1.8203&&0.0287&&,1.0,0.0,3,6,0,2250.5,0.0,0
61,2708956,13,0.384615384615,442,0.7645&&0.0063&&0.2572&&72.7784&&,0.75,20.0,2,5,0,1566.0,0.0,0
62,2662603,44,0.181818181818,288,0.0163&&0.0977&&3.2227&&37.7582&&4.1499&&14.7263&&24.2171&&,0.428571428571,25.0,3,8,1,1765.625,0.125,0
63,2720720,10,0.5,587,6.9962&&7.0008&&77.0090&&6.9929&&,0.0,100.0,0,5,0,1440.0,0.0,0
64,2720669,7,0.857142857143,470,7.0009&&6.9878&&77.0184&&7.0068&&0.0220&&,0.2,100.0,0,6,0,1350.0,0.0,0
65,2728934,19,0.315789473684,455,4.9251&&0.0038&&0.0735&&89.8553&&0.0230&&,0.6,16.6666666667,1,6,2,2060.5,0.0,0
66,2734399,5,1.8,3,0.1000&&0.1422&&0.0238&&0.0352&&0.1277&&0.0224&&0.0618&&0.5142&&,1.0,33.3333333333,5,9,0,3019.44444444,0.111111111111,0
67,2750983,9,0.666666666667,443,3.6761&&1.7914&&3.0057&&6.9954&&77.0031&&,0.6,50.0,1,6,0,1112.0,0.333333333333,0
68,2756090,5,1.6,130,0.0025&&3.0161&&0.0139&&0.0297&&0.4035&&24.5204&&10.0467&&,0.714285714286,25.0,2,8,0,1254.5,0.5,0
69,2724976,14,0.857142857143,153,5.9769&&34.4160&&1.3458&&0.0109&&0.0047&&4.3249&&0.0018&&8.0037&&12.9987&&3.3282&&0.0051&&,0.545454545455,41.6666666667,5,12,0,1111.83333333,0.166666666667,0
70,2743737,15,0.333333333333,545,8.9211&&4.0449&&0.9894&&77.0106&&,0.25,0.0,5,5,0,1605.4,0.0,2
71,2633665,7,0.857142857143,143,0.0041&&2.8926&&25.2079&&1.0552&&0.8029&&,0.8,0.0,1,6,0,3061.33333333,0.0,0
72,2718823,3,1.66666666667,542,90.3114&&0.0076&&0.0172&&0.0172&&,0.75,100.0,0,5,0,887.6,0.8,0
73,2690547,21,0.52380952381,230,8.8877&&0.1624&&10.1643&&37.7752&&0.0043&&0.0165&&6.8835&&11.9456&&0.2181&&19.9729&&,0.4,27.2727272727,6,11,1,1324.09090909,0.181818181818,0
74,2732695,8,1.375,235,0.0350&&0.0911&&0.0458&&0.0946&&1.2470&&1.7256&&5.0598&&1.1085&&7.9881&&80.7487&&,0.7,81.8181818182,2,11,1,1107.0,0.545454545455,0
75,2653233,8,0.75,240,0.0358&&14.0893&&0.0003&&2.0699&&33.9536&&,0.6,33.3333333333,3,6,0,1333.66666667,0.166666666667,2
76,2707192,37,0.216216216216,333,0.0563&&0.9430&&5.3521&&0.0014&&18.7991&&45.3585&&26.7311&&,0.428571428571,0.0,4,8,0,3019.125,0.0,0
77,2724101,9,1.22222222222,156,0.0042&&24.8759&&3.1582&&0.2560&&0.8229&&1.4664&&3.3277&&1.9371&&25.1601&&4.0251&&,0.7,0.0,8,11,0,1937.36363636,0.0,0
78,2688055,34,0.794117647059,67,2.0072&&0.0028&&5.9385&&4.0601&&2.5081&&0.4609&&0.0023&&0.0005&&9.0173&&10.5314&&2.8413&&0.0016&&0.6570&&4.9650&&0.0057&&6.3017&&0.0310&&0.0065&&0.6447&&4.0321&&2.3223&&2.6722&&3.0289&&5.2649&&1.7027&&4.3054&&,0.653846153846,92.5925925926,1,27,0,788.555555556,0.703703703704,0
79,2765403,68,0.264705882353,132,0.8869&&1.0303&&2.0520&&0.1297&&2.8799&&3.9522&&0.0219&&11.5054&&2.5989&&2.3406&&14.5499&&0.1752&&9.9045&&0.8981&&11.0980&&8.9036&&20.9856&&,0.647058823529,55.5555555556,5,18,0,1915.44444444,0.111111111111,0
80,2702936,42,0.214285714286,169,18.8954&&1.9153&&2.9615&&10.8158&&0.0562&&0.7990&&2.3340&&18.7617&&,0.625,100.0,0,9,0,1604.33333333,0.333333333333,0
81,2713042,28,0.178571428571,52,1.3278&&0.8531&&0.0307&&6.4742&&,0.75,0.0,2,5,1,11831.2,0.0,0
82,2742861,8,1.0,264,0.0196&&6.9676&&7.0175&&0.0153&&13.9792&&0.0016&&49.0195&&,0.428571428571,0.0,5,8,0,2278.625,0.0,0
83,2735112,5,1.0,483,73.8924&&0.1688&&0.1545&&6.3830&&,0.5,80.0,1,5,0,1675.6,0.0,0
84,2634345,5,1.2,504,0.0074&&105.0636&&0.0380&&0.0016&&0.0077&&,0.8,0.0,4,6,1,3438.16666667,0.0,0
85,2752311,19,0.736842105263,180,0.0196&&0.0040&&0.0177&&55.8029&&0.3091&&0.9815&&7.0003&&6.0182&&0.6380&&18.0244&&0.0006&&8.2781&&0.7622&&,0.615384615385,57.1428571429,2,14,0,1672.92857143,0.285714285714,0
86,2736670,17,0.941176470588,57,0.8213&&0.0086&&0.0126&&0.0217&&0.0186&&0.0980&&0.0878&&0.6889&&5.1349&&0.1224&&14.0481&&6.6970&&0.9595&&6.0102&&1.3177&&,0.733333333333,18.75,5,16,0,1165.0625,0.75,0
87,2717796,23,0.478260869565,68,0.0042&&1.0295&&7.5727&&0.0246&&0.2226&&4.0063&&15.5841&&0.0168&&0.0028&&0.0014&&,0.7,0.0,2,11,3,4042.36363636,0.0,0
88,2724936,113,0.256637168142,83,3.1064&&0.8842&&0.0018&&1.8382&&0.0028&&0.0030&&0.0078&&0.0047&&0.3252&&5.7519&&6.0239&&0.9871&&0.0288&&4.9536&&3.0655&&7.0240&&0.9795&&28.0563&&2.9086&&1.9070&&1.0312&&3.9362&&0.1075&&4.0137&&4.9675&&1.0138&&0.9676&&13.0189&&,0.714285714286,24.1379310345,12,29,0,5887.89655172,0.137931034483,2
89,2679829,18,0.444444444444,20,0.0378&&0.0965&&0.1025&&0.8320&&4.0678&&0.8602&&0.0068&&,0.857142857143,62.5,2,8,0,1276.25,0.0,0
90,2686345,81,0.320987654321,70,0.0188&&0.0649&&12.0098&&0.0144&&0.6407&&0.1057&&0.0281&&0.1269&&3.0247&&3.9883&&5.9627&&13.7867&&6.9957&&1.0608&&0.2269&&0.0116&&1.7799&&0.1528&&0.0822&&0.0021&&0.6623&&0.0472&&0.2837&&18.7212&&3.2661&&,0.8,96.1538461538,1,26,1,2726.69230769,0.615384615385,0
91,2769238,10,1.2,114,0.0031&&17.0296&&4.4827&&0.0009&&0.0269&&7.7370&&21.7588&&0.0167&&0.2689&&0.0011&&1.1204&&,0.636363636364,8.33333333333,6,12,0,2091.91666667,0.0833333333333,0
92,2730166,4,2.75,148,0.0375&&0.0078&&0.0102&&3.0571&&0.0062&&0.0388&&1.8358&&33.0049&&0.0087&&24.0328&&,0.8,9.09090909091,5,11,1,1540.90909091,0.0909090909091,0
93,2744764,46,0.260869565217,180,0.0189&&0.7298&&35.2204&&0.7941&&7.0261&&6.1688&&13.9949&&8.8429&&0.0018&&9.9612&&0.0016&&,0.454545454545,0.0,11,12,0,1950.0,0.0833333333333,0
94,2656207,20,0.45,317,5.7996&&1.1408&&5.8029&&0.0488&&28.1446&&8.0648&&0.7587&&55.9518&&,0.375,66.6666666667,2,9,0,1927.77777778,0.0,0
95,2690430,6,1.0,53,0.0065&&0.0070&&0.0010&&11.1212&&0.0507&&,0.8,0.0,2,6,0,1698.16666667,0.0,0
96,2720621,6,0.833333333333,450,0.0676&&0.9144&&74.1115&&0.0000&&,0.75,0.0,2,5,0,2523.2,0.0,0
97,2665203,7,0.714285714286,631,10.9554&&87.4222&&6.8791&&0.0541&&,0.25,0.0,5,5,1,2323.0,0.0,0
98,2649285,41,0.975609756098,68,12.9330&&5.8805&&1.9492&&7.0537&&1.0483&&1.1330&&2.8021&&0.0511&&0.9904&&0.0276&&0.0141&&2.2357&&0.7573&&2.9388&&0.0497&&0.1883&&0.0150&&0.7849&&1.1707&&1.7532&&3.1075&&1.0112&&1.2086&&5.7615&&0.0043&&1.1697&&0.7854&&1.2219&&2.7377&&9.2814&&0.7906&&5.2264&&8.7569&&5.2325&&0.0007&&0.0050&&7.7665&&7.1919&&5.7386&&,0.717948717949,92.5,3,40,3,1156.125,0.325,0
99,2728146,9,0.666666666667,287,3.0493&&3.8095&&53.1317&&0.0082&&0.0010&&,0.8,16.6666666667,2,6,2,2534.33333333,0.166666666667,0
100,2770988,23,0.260869565217,431,0.0339&&0.9194&&14.7104&&66.4069&&7.9096&&,0.4,50.0,1,6,0,2150.33333333,0.5,0
101,2695482,2,2.5,301,0.0409&&0.0569&&0.9253&&49.2886&&,0.75,40.0,1,5,0,1758.8,0.0,0
102,2678711,87,0.333333333333,84,0.8871&&3.2732&&3.7019&&0.4397&&5.0905&&0.7719&&0.7501&&6.0208&&3.1465&&7.0126&&1.3128&&2.5884&&1.1901&&8.9417&&1.0538&&4.9888&&7.9064&&3.7626&&4.3117&&9.7284&&3.1516&&0.8542&&1.1038&&2.9058&&0.3524&&1.0889&&0.9923&&11.8095&&,0.678571428571,6.89655172414,22,29,0,4921.86206897,0.0,2
103,2649869,29,0.310344827586,254,1.0742&&55.9026&&6.9591&&13.1792&&0.7728&&6.0910&&0.0752&&0.8687&&,0.5,0.0,5,9,1,1252.66666667,0.0,0
104,2736818,20,0.5,213,2.7729&&0.0049&&0.0821&&4.0192&&3.1458&&0.0699&&3.9464&&45.7824&&20.2728&&,0.666666666667,80.0,2,10,0,1045.1,0.9,0
105,2749763,13,1.07692307692,151,0.1400&&1.6163&&0.0431&&4.1770&&0.9062&&0.0019&&2.0144&&38.0996&&0.9182&&0.0653&&0.0001&&34.1187&&0.0159&&,0.769230769231,85.7142857143,1,14,0,1651.92857143,0.357142857143,0
106,2753063,5,1.2,351,72.1702&&0.0048&&0.9890&&0.0198&&0.0012&&,0.8,0.0,3,6,0,683.833333333,0.666666666667,0
107,2754321,13,0.538461538462,260,0.1548&&6.9183&&21.4044&&13.1465&&18.4342&&5.0513&&,0.166666666667,42.8571428571,1,7,0,1231.28571429,0.0,0
108,2748176,7,1.28571428571,173,0.0179&&11.9722&&0.0018&&0.9333&&10.8380&&0.2146&&7.9513&&25.9678&&,0.5,0.0,5,9,0,2612.88888889,0.111111111111,2
109,2681067,12,0.416666666667,468,0.0112&&0.1263&&40.9435&&37.0778&&,0.5,20.0,2,5,0,2016.4,0.0,0
110,2769119,24,0.375,237,0.0129&&0.2396&&7.7661&&7.9955&&11.1624&&14.2150&&0.7852&&37.0683&&,0.375,55.5555555556,3,9,0,2283.88888889,0.0,0
111,2721324,3,1.66666666667,0,0.0017&&0.0426&&0.0427&&0.0341&&,1.0,100.0,0,5,0,1061.4,0.4,0
112,2768457,42,0.452380952381,119,28.1938&&2.8009&&7.9258&&6.2498&&6.9788&&2.8118&&3.9851&&3.0207&&7.1179&&3.8281&&1.0632&&0.1053&&1.8982&&3.9798&&0.0194&&0.9988&&6.1281&&2.8530&&,0.666666666667,42.1052631579,6,19,0,1078.26315789,0.210526315789,0
